Number of steps: 500
Update Matrix <4,4>: [
  17.950012,	  2.189982,	  10.000000,	  -7.608947,	
  18.000011,	  2.151937,	  10.000000,	  -7.657997,	
  18.050011,	  2.113647,	  10.000000,	  -7.707047,	
  18.100010,	  2.075112,	  10.000000,	  -7.756096,	
  18.150009,	  2.036331,	  10.000000,	  -7.805146,	
  18.200008,	  1.997306,	  10.000000,	  -7.854196,	
  18.250008,	  1.958035,	  10.000000,	  -7.903246,	
  18.300007,	  1.918518,	  10.000000,	  -7.952296,	
  18.350006,	  1.878757,	  10.000000,	  -8.001346,	
  18.400005,	  1.838750,	  10.000000,	  -8.050396,	
  18.450005,	  1.798498,	  10.000000,	  -8.099446,	
  18.500004,	  1.758001,	  10.000000,	  -8.148497,	
  18.550003,	  1.717259,	  10.000000,	  -8.197547,	
  18.600002,	  1.676271,	  10.000000,	  -8.246597,	
  18.650002,	  1.635038,	  10.000000,	  -8.295648,	
  18.700001,	  1.593560,	  10.000000,	  -8.344698,	
  18.750000,	  1.551836,	  10.000000,	  -8.393748,	
  18.799999,	  1.509867,	  10.000000,	  -8.442799,	
  18.849998,	  1.467653,	  10.000000,	  -8.491849,	
  18.899998,	  1.425194,	  10.000000,	  -8.540899,	
  18.949997,	  1.382490,	  10.000000,	  -8.589950,	
  18.999996,	  1.339540,	  10.000000,	  -8.639000,	
  19.049995,	  1.296345,	  10.000000,	  -8.688050,	
  19.099995,	  1.252905,	  10.000000,	  -8.737101,	
  19.149994,	  1.209219,	  10.000000,	  -8.786151,	
  19.199993,	  1.165288,	  10.000000,	  -8.835201,	
  19.249992,	  1.121112,	  10.000000,	  -8.884252,	
  19.299992,	  1.076691,	  10.000000,	  -8.933302,	
  19.349991,	  1.032025,	  10.000000,	  -8.982352,	
  19.399990,	  0.987113,	  10.000000,	  -9.031403,	
  19.449989,	  0.941956,	  10.000000,	  -9.080453,	
  19.499989,	  0.896554,	  10.000000,	  -9.129503,	
  19.549988,	  0.850906,	  10.000000,	  -9.178554,	
  19.599987,	  0.805013,	  10.000000,	  -9.227604,	
  19.649986,	  0.758875,	  10.000000,	  -9.276654,	
  19.699986,	  0.712492,	  10.000000,	  -9.325705,	
  19.749985,	  0.665863,	  10.000000,	  -9.374755,	
  19.799984,	  0.618990,	  10.000000,	  -9.423805,	
  19.849983,	  0.571871,	  10.000000,	  -9.472856,	
  19.899982,	  0.524506,	  10.000000,	  -9.521906,	
  19.949982,	  0.476897,	  10.000000,	  -9.570956,	
  19.999981,	  0.429042,	  10.000000,	  -9.620007,	
  20.049980,	  0.380942,	  10.000000,	  -9.669057,	
  20.099979,	  0.332597,	  10.000000,	  -9.718107,	
  20.149979,	  0.284006,	  10.000000,	  -9.767158,	
  20.199978,	  0.235170,	  10.000000,	  -9.816208,	
  20.249977,	  0.186089,	  10.000000,	  -9.865258,	
  20.299976,	  0.136763,	  10.000000,	  -9.914309,	
  20.349976,	  0.087192,	  10.000000,	  -9.963359,	
  20.399975,	  0.037375,	  10.000000,	  -10.012409,	
  20.449974,	  -0.012687,	  10.000000,	  -10.061460,	
  20.499973,	  -0.062995,	  10.000000,	  -10.110510,	
  20.549973,	  -0.113547,	  10.000000,	  -10.159560,	
  20.599972,	  -0.164345,	  10.000000,	  -10.208611,	
  20.649971,	  -0.215388,	  10.000000,	  -10.257661,	
  20.699970,	  -0.266676,	  10.000000,	  -10.306711,	
  20.749969,	  -0.318210,	  10.000000,	  -10.355762,	
  20.799969,	  -0.369989,	  10.000000,	  -10.404812,	
  20.849968,	  -0.422013,	  10.000000,	  -10.453862,	
  20.899967,	  -0.474282,	  10.000000,	  -10.502913,	
  20.949966,	  -0.526797,	  10.000000,	  -10.551963,	
  20.999966,	  -0.579556,	  10.000000,	  -10.601013,	
  21.049965,	  -0.632561,	  10.000000,	  -10.650064,	
  21.099964,	  -0.685812,	  10.000000,	  -10.699114,	
  21.149963,	  -0.739307,	  10.000000,	  -10.748164,	
  21.199963,	  -0.793048,	  10.000000,	  -10.797215,	
  21.249962,	  -0.847034,	  10.000000,	  -10.846265,	
  21.299961,	  -0.901266,	  10.000000,	  -10.895315,	
  21.349960,	  -0.955742,	  10.000000,	  -10.944366,	
  21.399960,	  -1.010464,	  10.000000,	  -10.993416,	
  21.449959,	  -1.065431,	  10.000000,	  -11.042466,	
  21.499958,	  -1.120643,	  10.000000,	  -11.091516,	
  21.549957,	  -1.176101,	  10.000000,	  -11.140567,	
  21.599957,	  -1.231804,	  10.000000,	  -11.189617,	
  21.649956,	  -1.287752,	  10.000000,	  -11.238667,	
  21.699955,	  -1.343945,	  10.000000,	  -11.287718,	
  21.749954,	  -1.400384,	  10.000000,	  -11.336768,	
  21.799953,	  -1.457068,	  10.000000,	  -11.385818,	
  21.849953,	  -1.513997,	  10.000000,	  -11.434869,	
  21.899952,	  -1.571171,	  10.000000,	  -11.483919,	
  21.949951,	  -1.628591,	  10.000000,	  -11.532969,	
  21.999950,	  -1.686256,	  10.000000,	  -11.582020,	
