Number of steps: 500
Force Vector <4> : [
  0.000000,
  0.000000,
  0.000000,
  -9.810000,
]
Initial State <4> : [
  0.000000,
  0.000000,
  10.000000,
  10.000000,
]
	x,	y,	vx,	vy,
Results <500,4>: [
  6.875581,	  -4.061048,	  0.899396,	  -6.650620,	
  6.880078,	  -4.094301,	  0.893360,	  -6.655036,	
  6.884545,	  -4.127576,	  0.887361,	  -6.659399,	
  6.888982,	  -4.160873,	  0.881400,	  -6.663710,	
  6.893389,	  -4.194191,	  0.875475,	  -6.667968,	
  6.897767,	  -4.227531,	  0.869588,	  -6.672174,	
  6.902114,	  -4.260892,	  0.863737,	  -6.676330,	
  6.906433,	  -4.294274,	  0.857922,	  -6.680435,	
  6.910723,	  -4.327676,	  0.852144,	  -6.684491,	
  6.914983,	  -4.361098,	  0.846401,	  -6.688497,	
  6.919215,	  -4.394541,	  0.840695,	  -6.692454,	
  6.923419,	  -4.428003,	  0.835024,	  -6.696363,	
  6.927594,	  -4.461484,	  0.829390,	  -6.700224,	
  6.931741,	  -4.494986,	  0.823790,	  -6.704039,	
  6.935860,	  -4.528506,	  0.818226,	  -6.707807,	
  6.939951,	  -4.562045,	  0.812697,	  -6.711528,	
  6.944015,	  -4.595602,	  0.807202,	  -6.715205,	
  6.948050,	  -4.629178,	  0.801743,	  -6.718836,	
  6.952059,	  -4.662772,	  0.796318,	  -6.722423,	
  6.956041,	  -4.696384,	  0.790927,	  -6.725966,	
  6.959995,	  -4.730014,	  0.785571,	  -6.729465,	
  6.963923,	  -4.763662,	  0.780248,	  -6.732922,	
  6.967824,	  -4.797327,	  0.774960,	  -6.736336,	
  6.971699,	  -4.831008,	  0.769705,	  -6.739709,	
  6.975547,	  -4.864707,	  0.764484,	  -6.743040,	
  6.979370,	  -4.898422,	  0.759296,	  -6.746330,	
  6.983166,	  -4.932154,	  0.754141,	  -6.749580,	
  6.986937,	  -4.965901,	  0.749019,	  -6.752789,	
  6.990682,	  -4.999665,	  0.743930,	  -6.755960,	
  6.994402,	  -5.033445,	  0.738874,	  -6.759090,	
  6.998096,	  -5.067240,	  0.733850,	  -6.762183,	
  7.001766,	  -5.101051,	  0.728858,	  -6.765238,	
  7.005410,	  -5.134878,	  0.723899,	  -6.768254,	
  7.009030,	  -5.168719,	  0.718972,	  -6.771234,	
  7.012625,	  -5.202575,	  0.714076,	  -6.774176,	
  7.016195,	  -5.236446,	  0.709212,	  -6.777082,	
  7.019742,	  -5.270331,	  0.704379,	  -6.779953,	
  7.023263,	  -5.304231,	  0.699578,	  -6.782788,	
  7.026762,	  -5.338145,	  0.694808,	  -6.785587,	
  7.030236,	  -5.372073,	  0.690068,	  -6.788352,	
  7.033686,	  -5.406015,	  0.685360,	  -6.791083,	
  7.037113,	  -5.439970,	  0.680682,	  -6.793780,	
  7.040516,	  -5.473939,	  0.676034,	  -6.796444,	
  7.043897,	  -5.507922,	  0.671417,	  -6.799074,	
  7.047254,	  -5.541917,	  0.666830,	  -6.801672,	
  7.050588,	  -5.575925,	  0.662272,	  -6.804237,	
  7.053899,	  -5.609947,	  0.657745,	  -6.806771,	
  7.057188,	  -5.643981,	  0.653247,	  -6.809273,	
